HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,LT,Lithuania,11.50187829,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,LU,Luxembourg,0.17763314,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,LV,Latvia,7.09935471,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,NO,Norway,0.1741994,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,PL,Poland,0.30258687,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,RO,Romania,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,SE,Sweden,2.74946382,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,SI,Slovenia,3.0055156,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,SK,Slovakia,1.47564748,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2015,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,AT,Austria,1.09189491,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,BE,Belgium,0.00884085,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,BG,Bulgaria,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,CZ,Czech Republic,5.35350014,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,DE,Germany,0.42226603,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,EE,Estonia,6.07928604,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,EL,Greece,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,EU_EEA31,EU/EEA,0.554699,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,EU28,EU,0.558251,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,FI,Finland,1.1116562,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,FR,France,0.02247849,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,HR,Croatia,0.14317523,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,HU,Hungary,0.14241413,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,IT,Italy,0.07912233,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,LT,Lithuania,21.91404846,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,LU,Luxembourg,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,LV,Latvia,4.62173627,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,NL,Netherlands,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,NO,Norway,0.23029442,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,PL,Poland,0.55574271,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,RO,Romania,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,SE,Sweden,2.4159942,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,SI,Slovenia,4.02095157,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,SK,Slovakia,3.1144886,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2016,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,AT,Austria,1.40205052,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,BE,Belgium,0.02642769,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,BG,Bulgaria,0.01408082,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,CZ,Czech Republic,6.39957953,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,DE,Germany,0.58772453,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,EE,Estonia,6.38474956,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,EL,Greece,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,EU_EEA31,EU/EEA,0.528066,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,EU28,EU,0.530532,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,FI,Finland,1.49001589,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,FR,France,0.00298556,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,HR,Croatia,0.24071948,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,HU,Hungary,0.1428927,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,IT,Italy,0.03961085,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,LT,Lithuania,16.64381945,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,LU,Luxembourg,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,LV,Latvia,9.12766214,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,NL,Netherlands,-,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,NO,Norway,0.30427986,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,PL,Poland,0.5161567,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,RO,Romania,0.00509052,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,SE,Sweden,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,SI,Slovenia,4.9373274,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,SK,Slovakia,1.37985772,,,,,,,
Tick-borne encephalitis,Confirmed cases,Notification rate,N/100000,2017,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,AT,Austria,38,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,BE,Belgium,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,CZ,Czech Republic,573,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,DE,Germany,195,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,EE,Estonia,178,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,EL,Greece,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,EU_EEA31,EU/EEA,2149,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,EU28,EU,2142,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,FI,Finland,39,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,FR,France,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,HR,Croatia,45,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,HU,Hungary,42,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,LT,Lithuania,351,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,LV,Latvia,72,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,NO,Norway,7,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,PL,Poland,119,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,RO,Romania,3,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,SE,Sweden,287,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,SI,Slovenia,164,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,SK,Slovakia,31,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2012,UK,United Kingdom,3,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,AT,Austria,100,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,BE,Belgium,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,CZ,Czech Republic,625,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,DE,Germany,419,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,EE,Estonia,114,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,EL,Greece,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,EU_EEA31,EU/EEA,2904,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,EU28,EU,2898,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,FI,Finland,38,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,FR,France,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,HR,Croatia,44,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,HU,Hungary,27,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,IT,Italy,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,LT,Lithuania,487,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,LV,Latvia,230,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,NO,Norway,6,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,PL,Poland,136,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,RO,Romania,3,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,SE,Sweden,209,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,SI,Slovenia,307,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,SK,Slovakia,157,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2013,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,AT,Austria,81,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,BE,Belgium,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,BG,Bulgaria,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,CZ,Czech Republic,410,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,DE,Germany,264,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,EE,Estonia,82,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,EL,Greece,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,EU_EEA31,EU/EEA,1985,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,EU28,EU,1972,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,FI,Finland,47,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,FR,France,9,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,HR,Croatia,23,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,HU,Hungary,26,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,IT,Italy,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,LT,Lithuania,353,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,LU,Luxembourg,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,LV,Latvia,149,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,NO,Norway,13,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,PL,Poland,131,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,RO,Romania,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,SE,Sweden,178,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,SI,Slovenia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,SK,Slovakia,115,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2014,UK,United Kingdom,2,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,AT,Austria,79,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,BE,Belgium,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,BG,Bulgaria,2,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,CZ,Czech Republic,349,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,DE,Germany,220,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,EE,Estonia,115,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,EL,Greece,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,EU_EEA31,EU/EEA,1910,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,EU28,EU,1901,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,FI,Finland,68,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,FR,France,10,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,HR,Croatia,26,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,HU,Hungary,22,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,IT,Italy,5,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,LT,Lithuania,336,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,LU,Luxembourg,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,LV,Latvia,141,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,NO,Norway,9,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,PL,Poland,115,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,RO,Romania,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,SE,Sweden,268,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,SI,Slovenia,62,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,SK,Slovakia,80,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2015,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,AT,Austria,95,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,BE,Belgium,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,BG,Bulgaria,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,CZ,Czech Republic,565,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,DE,Germany,347,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,EE,Estonia,80,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,EL,Greece,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,EU_EEA31,EU/EEA,2673,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,EU28,EU,2661,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,FI,Finland,61,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,FR,France,15,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,HR,Croatia,6,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,HU,Hungary,14,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,IT,Italy,48,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,LT,Lithuania,633,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,LU,Luxembourg,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,LV,Latvia,91,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,NL,Netherlands,4,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,NO,Norway,12,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,PL,Poland,211,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,RO,Romania,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,SE,Sweden,238,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,SI,Slovenia,83,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,SK,Slovakia,169,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2016,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,AT,Austria,123,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,BE,Belgium,3,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,BG,Bulgaria,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,CZ,Czech Republic,677,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,DE,Germany,485,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,EE,Estonia,84,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,EL,Greece,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,ES,Spain,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,EU_EEA31,EU/EEA,2550,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,EU28,EU,2534,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,FI,Finland,82,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,FR,France,2,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,HR,Croatia,10,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,HU,Hungary,14,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,IE,Ireland,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,IT,Italy,24,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,LT,Lithuania,474,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,LU,Luxembourg,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,LV,Latvia,178,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,NL,Netherlands,3,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,NO,Norway,16,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,PL,Poland,196,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,RO,Romania,1,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,SE,Sweden,0,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,SI,Slovenia,102,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,SK,Slovakia,75,,,,,,,
Tick-borne encephalitis,Confirmed cases,Reported cases,N,2017,UK,United Kingdom,0,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,AT,Austria,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,BE,Belgium,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,CZ,Czech Republic,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,DE,Germany,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,EE,Estonia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,EL,Greece,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,ES,Spain,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,EU_EEA31,EU/EEA,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,EU28,EU,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,FI,Finland,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,FR,France,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,HR,Croatia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,HU,Hungary,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,IE,Ireland,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,LT,Lithuania,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,LV,Latvia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,NO,Norway,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,PL,Poland,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,RO,Romania,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,SE,Sweden,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,SI,Slovenia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,SK,Slovakia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2012,UK,United Kingdom,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,AT,Austria,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,BE,Belgium,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,CZ,Czech Republic,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,DE,Germany,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,EE,Estonia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,EL,Greece,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,ES,Spain,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,EU_EEA31,EU/EEA,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,EU28,EU,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,FI,Finland,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,FR,France,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,HR,Croatia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,HU,Hungary,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,IE,Ireland,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,IT,Italy,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,LT,Lithuania,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,LV,Latvia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,NO,Norway,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,PL,Poland,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,RO,Romania,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,SE,Sweden,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,SI,Slovenia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,SK,Slovakia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2013,UK,United Kingdom,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2014,AT,Austria,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2014,BE,Belgium,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2014,BG,Bulgaria,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2014,CZ,Czech Republic,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2014,DE,Germany,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2014,EE,Estonia,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2014,EL,Greece,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2014,ES,Spain,-,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2014,EU_EEA31,EU/EEA,100,,,,,,,
Tick-borne encephalitis,Confirmed cases - Data quality,Completeness Age,%,2014,EU28,EU,100,,,,,,,
